site,SAMPLEID,X,Y,HEIGHT,stage
LREP,76,94.25,115.75,0.17,seedling
LREP,201,97.7,115.9,0.5,seedling
LA,V4753,60.5,115.97,,sapling
LA,308,104,116,,adult
LREP,75,65.25,116.05,0.15,seedling
TRC,V6005,103,116.1,,adult
TRC,V7267,149.1,116.2,,sapling
LREP,121,36.9,116.29,0.2,seedling
TRC,Y33,142.2,116.46,,seedling
LREP,59,68.2,117.08,0.4,seedling
RA,OY95,97.48,117.2,,sapling
TRC,T25,56.7,117.3,,sapling
LREP,17,95.57,117.43,0.28,seedling
TRC,Y22,140.2,118,,seedling
TRC,31,52.08,118.21,,seedling
LA,40,129.01,118.25,,seedling
TRC,Y91,142,118.26,,seedling
LA,34R,25.65,118.33,,seedling
TRC,Y77,105.15,118.33,,sapling
LA,16R,104.7,118.52,,seedling
LREP,256,112.1,118.75,0.2,seedling
TRC,Y23,62.6,118.8,,seedling
LA,433,124.5,119,,adult
RA,O20,161,119,0.28,seedling
LREP,61,47.06,119.55,0.09,seedling
LA,35,86.8,119.61,,seedling
LREP,95,28.7,119.7,4,sapling
RA,OY40,49.5,119.7,2,sapling
RA,T15,49.5,119.7,,sapling
LREP,93,0.7,119.8,17,adult
TRC,V5259,61.9,119.8,,adult
LREP,94,90.5,119.9,0.1,seedling
TRC,Y96,85.42,119.97,,seedling
TRC,30,49.78,120.23,,seedling
TRC,Y48,142.5,120.5,,seedling
RA,O96,174,120.5,0.19,seedling
LREP,216,62.85,120.65,0.85,seedling
LREP,251,28.1,120.84,0.15,seedling
RA,V7632,136.95,121.2,,sapling
RA,V7632,137,121.2,,sapling
TRC,Y86,79,121.3,,seedling
LA,39,148.61,121.49,,seedling
TRC,34,25.63,121.65,,seedling
LREP,180,70.35,121.7,0.1,seedling
TRC,Y25,140.65,121.7,,seedling
TRC,33,25.3,121.85,,seedling
RA,W94,38,122.1,0.5,seedling
LREP,149,24.95,122.12,0.09,seedling
RA,W93,38,122.3,0.5,seedling
TRC,32,51.89,122.31,,seedling
TRC,Y61,134.4,122.4,,seedling
TRC,36,25.11,122.47,,seedling
TRC,37,25.11,122.47,,seedling
TRC,35,25.12,122.47,,seedling
LA,33R,34.3,122.5,,seedling
TRC,Y78,50.4,122.5,,seedling
TRC,Y94,59.7,122.53,,seedling
TRC,Y80,50.4,122.55,,seedling
LA,47,147.17,122.64,,sapling
LA,69,122.5,122.8,,sapling
LREP,102,76,122.95,0.45,seedling
TRC,Y74,52.95,123.1,,seedling
RA,310,95,123.1,,adult
TRC,Y73,52.95,123.15,,seedling
LA,V6805,126.6,123.15,,adult
LREP,171,104,123.27,1.2,sapling
RA,W95,40,123.4,0.4,seedling
TRC,Y51,83.45,123.4,,seedling
TRC,87,156.94,123.82,,seedling
TRC,2251,16,124,,adult
LREP,194,113.33,124.1,6,sapling
LA,35R,25.78,124.25,,seedling
LREP,139,51.29,124.5,0.75,seedling
LREP,78,66,124.55,16.5,adult
LREP,140,101.29,124.55,1,sapling
LREP,290,30.66,124.7,0.9,seedling
LREP,110,33.85,124.87,0.2,seedling
TRC,Y30,83.95,124.9,,seedling
TRC,86,152.38,124.96,,seedling
LREP,73,104.27,124.97,0.23,seedling
LA,41,131.66,124.99,,sapling
TRC,Y67,87.6,125.05,,seedling
RA,478,82.55,125.25,,adult
LA,43,158.12,125.26,,seedling
RA,478,82.6,125.3,,adult
TRC,Y43,83.1,125.49,,seedling
LA,V7364,131.7,125.55,,sapling
LREP,191,97.9,125.72,0.7,seedling
LREP,283,72.05,126.1,0.17,seedling
LA,31R,26.12,126.29,,seedling
LREP,12,50.7,126.45,0.2,seedling
LREP,231,28.65,126.5,0.4,seedling
RA,W89,42.7,126.5,0.6,seedling
LA,V7997,102.3,126.5,,sapling
LA,2622,35.3,126.83,,adult
LA,13,85.07,126.83,,seedling
TRC,Y24,145.3,126.9,,seedling
LA,98,46.16,126.97,,seedling
LA,26,57.9,127,,seedling
TRC,T48,107.9,127.05,,seedling
LA,99,39.76,127.45,,seedling
LA,100,35.96,127.58,,seedling
LREP,125,61.3,127.87,0.2,seedling
TRC,T55,115.65,127.92,,seedling
LA,32R,28.1,127.95,,seedling
LA,324,94,128,,adult
RA,O1,153,128,2.5,sapling
LREP,14,100.9,128.21,0.25,seedling
TRC,T37,89.65,128.32,,seedling
LREP,6,113.04,128.32,2,sapling
TRC,38,33.51,128.39,,seedling
RA,W88,38,128.4,0.4,seedling
RA,V928,140.27,128.45,,sapling
RA,V928,140.3,128.5,,sapling
TRC,T74,144.5,128.5,,seedling
LREP,234,91.5,128.6,0.2,seedling
LA,5,142.57,128.87,,seedling
LREP,161,117.85,128.9,0.3,seedling
LA,4,142.67,128.9,,seedling
TRC,T54,120.13,128.93,,seedling
TRC,T73,142.75,128.97,,seedling
LA,27,58.09,129,,seedling
LA,598,142.5,129,,adult
TRC,T43,96.9,129.2,,seedling
TRC,P2,66.4,129.85,,seedling
LA,V8131,105.8,129.9,,sapling
RA,W90,45.5,130,0.23,seedling
LREP,274,62.56,130.16,0.45,seedling
LREP,104,117.3,130.35,0.25,seedling
LREP,228,51.2,130.5,0.1,seedling
LA,591,138,130.5,,adult
LREP,172,6.25,131,0.12,seedling
LREP,4,78.88,131.06,0.3,seedling
LREP,69,93.5,131.27,0.17,seedling
LA,V8647,71.6,131.3,,sapling
TRC,T59,117.4,131.33,,seedling
LREP,195,31.35,131.35,0.4,seedling
LREP,117,47.44,131.37,0.18,seedling
TRC,T60,117.4,131.43,,seedling
LA,6,141.66,131.45,,seedling
LA,12,91.95,131.48,,seedling
RA,O70,173.5,131.5,0.06,seedling
LA,103,28.51,131.55,,sapling
LREP,56,63.32,131.6,0.15,seedling
LREP,267,45.64,131.7,3,sapling
LREP,30,90.65,131.7,0.5,seedling
LREP,166,25.75,131.95,5.6,sapling
RA,W91,41.5,132,0.7,seedling
TRC,T36,86.73,132.04,,seedling
LA,41R,28.11,132.6,,seedling
LA,R1572,62.5,132.6,,sapling
TRC,T75,139.9,132.6,,seedling
LREP,258,43.46,132.75,1,sapling
LA,604,149.5,132.8,,adult
RA,O39,173,133,0.2,seedling
TRC,T29,61.8,133.27,,seedling
LA,11,94.04,133.35,,seedling
TRC,T58,132,133.6,,sapling
LREP,141,52.25,133.62,0.15,seedling
RA,W87,39.4,133.7,0.45,seedling
TRC,T46,102.5,133.75,,seedling
LA,25,51.83,133.94,,sapling
RA,W127,53,134,0.16,seedling
LREP,65,93.04,134,0.1,seedling
TRC,T63,136.9,134,,seedling
LREP,130,82.88,134.09,0.1,seedling
LA,V8288,94,134.1,,sapling
LREP,278,107.5,134.29,2.6,sapling
LA,104,24.57,134.3,,seedling
LREP,26,33.63,134.3,0.15,seedling
TRC,T64,132.35,134.34,,seedling
LREP,286,89,134.5,0.5,seedling
RA,O84,171.6,134.5,0.12,seedling
TRC,T35,86.65,134.6,,seedling
TRC,T47,102.4,134.6,,seedling
LREP,97,57,134.65,0.4,seedling
LREP,92,44.82,134.8,1,sapling
LREP,36,41.6,134.9,0.2,seedling
TRC,T66,130.85,134.9,,seedling
LA,24,53.55,134.99,,sapling
RA,O36,171.6,135,0.18,seedling
TRC,84,158.62,135.12,,seedling
LREP,176,106.1,135.15,3.8,sapling
TRC,T67,135.3,135.2,,seedling
LREP,197,34.1,135.25,6,sapling
LREP,219,4.05,135.38,0.31,seedling
TRC,T68,137.3,135.47,,seedling
LA,42,151.43,135.47,,seedling
RA,W98,40,135.5,0.3,seedling
TRC,T65,133,135.5,,seedling
LREP,218,44.47,135.59,0.25,seedling
LA,19,94.62,135.6,,seedling
TRC,83,160.75,135.63,,seedling
LREP,122,36.98,135.65,0.09,seedling
LA,20,95.07,135.7,,seedling
TRC,82,159,136.07,,seedling
LA,3,138.98,136.15,,seedling
LA,14,85.9,136.2,,seedling
LREP,46,77.15,136.43,2,sapling
LA,15,85.15,136.6,,seedling
TRC,T32,75.9,136.64,,seedling
LA,10,99.15,136.64,,seedling
TRC,T52,118.7,136.8,,seedling
TRC,T53,118.7,136.8,,seedling
LA,2,141.32,136.8,,seedling
TRC,T57,125.75,136.83,,seedling
LREP,249,49.1,136.9,0.56,seedling
LA,17,92.01,136.95,,seedling
TRC,T76,142.5,136.97,,sapling
TRC,904,160.15,137,,adult
RA,O31,173.5,137,0.12,seedling
LREP,189,46.55,137.3,1,sapling
TRC,T34,83.2,137.3,,seedling
LA,18,93.48,137.48,,seedling
TRC,T33,80.2,137.53,,seedling
LREP,136,102.25,137.68,2.5,sapling
LREP,38,48,137.8,0.2,seedling
RA,V9522,103.85,137.9,,sapling
RA,V9522,103.9,137.9,,sapling
LA,01R,166.12,137.95,,sapling
TRC,41,40.57,138,,seedling
RA,O74,171,138,0.14,seedling
LREP,200,86.2,138.35,0.17,seedling
TRC,R1921,94,138.5,,sapling
TRC,40,39.86,138.59,,seedling
TRC,T38,94.2,138.7,,sapling
LREP,211,60.4,138.95,0.1,seedling
TRC,45,48.93,139.06,,seedling
LA,38R,37.37,139.07,,sapling
TRC,39E,48.39,139.16,,seedling
TRC,T28,56.6,139.4,,seedling
LA,V8567,80.8,139.4,,adult
TRC,40E,48.72,139.54,,seedling
RA,V8439,130.6,139.55,,sapling
RA,V1249,77.55,139.58,,sapling
RA,V1249,77.6,139.6,,sapling
RA,V8439,130.6,139.6,,sapling
TRC,44,47.68,139.65,,seedling
LA,V7682,119.1,139.65,,sapling
LREP,53,1.35,139.7,4.5,sapling
LA,V8064,102.5,139.7,,sapling
LA,101,31.44,139.89,,seedling
LREP,115,47.2,139.95,0.11,seedling
TRC,T51,114.6,139.95,,seedling
TRC,T71,130.3,139.95,,seedling
TRC,39,36.07,139.99,,seedling
LREP,174,73.3,140,0.1,seedling
LREP,306,110.5,140,15,adult
LREP,8,118.9,140,1.5,sapling
RA,O7,151.3,140,0.14,seedling
RA,O80,157.5,140,0.05,seedling
RA,O5,161.5,140,0.18,seedling
TRC,85,162.9,140.07,,seedling
LA,22,95.67,140.15,,seedling
RA,RF302,27.3,140.2,,adult
TRC,42,40.37,140.27,,seedling
LA,9,102.82,140.3,,seedling
TRC,T56,113.6,140.32,,seedling
LREP,303,11.5,140.4,0.09,seedling
RA,O43,151,140.4,0.09,seedling
RA,O88,151.5,140.4,0.25,seedling
LA,40R,29.43,140.44,,seedling
LA,39R,37.85,140.45,,seedling
TRC,43,40.4,140.47,,seedling
LREP,96,50,140.87,0.2,seedling
TRC,T69,136.02,140.9,,seedling
TRC,V8601,95.4,140.92,,sapling
RA,W85,48,141,0.6,seedling
RA,O97b,171,141,0.15,seedling
TRC,V8447,101.6,141.1,,sapling
LREP,112,0.75,141.11,0.07,seedling
LA,21,96.62,141.24,,seedling
LA,1,140.15,141.47,,seedling
TRC,80,156.13,141.56,,seedling
RA,RF306,30.6,141.6,,adult
TRC,T70,132.5,141.65,,seedling
LREP,60,36.7,141.7,0.11,seedling
RA,V991,144.7,141.7,,sapling
RA,V991,144.67,141.73,,sapling
RA,W84,48,142,0.35,seedling
LA,37R,31.91,142.3,,seedling
LREP,151,6,142.35,0.12,seedling
LA,8,106.96,142.4,,seedling
LA,113,91.28,142.54,,seedling
LREP,223,31.05,142.55,0.19,seedling
RA,V10100,84.55,142.6,,sapling
RA,V10100,84.6,142.6,,sapling
TRC,R1754,101.1,142.6,,sapling
RA,V995,141.6,142.6,,sapling
LA,16,86.94,142.64,,seedling
LREP,254,71.56,142.95,0.17,seedling
LREP,299,41.5,143,17,adult
LA,V8341,92.5,143,,sapling
TRC,81,172.04,143.07,,seedling
RA,V9539,100.1,143.15,,sapling
RA,V9539,100.1,143.2,,sapling
TRC,Y68b,59.3,143.3,,seedling
TRC,V8524,105.9,143.31,,sapling
LREP,242,25.15,143.55,0.4,seedling
LREP,66,13.82,143.7,0.13,seedling
TRC,T42,92.62,143.7,,seedling
LREP,196,104.7,143.8,4.5,sapling
TRC,T45,106.42,143.86,,seedling
RA,V9554,100.38,143.95,,sapling
RA,V9554,100.4,144,,sapling
RA,461,97.4,144.1,,adult
LREP,142,26.8,144.14,0.09,seedling
RA,V9145,107.01,144.18,,sapling
RA,V9145,107,144.2,,sapling
TRC,T77,147.5,144.2,,seedling
TRC,T39,92.67,144.25,,seedling
RA,OY90,144.93,144.29,,sapling
RA,O93,152,144.5,0.85,seedling
RA,V8612,125.59,144.6,,sapling
RA,V8612,125.6,144.6,,sapling
TRC,T72,129.6,144.6,,seedling
LREP,289,55.75,144.65,1,sapling
TRC,Y4,54.58,144.95,,seedling
TRC,34E,38.05,145.07,,seedling
TRC,T61,121.7,145.25,,seedling
LREP,156,34.85,145.34,0.6,seedling
TRC,R1682,111,145.4,,sapling
TRC,R1666,133,145.4,,sapling
LA,28,47.1,145.51,,seedling
LA,102,27.69,145.62,,sapling
LA,126,140.54,145.77,,sapling
TRC,Y28,52.41,145.85,,seedling
TRC,T41,93.22,145.9,,seedling
RA,O67,174,146,0.15,seedling
RA,O86,174,146,0.17,seedling
TRC,46,44.88,146.08,,seedling
LREP,209,4.19,146.35,0.31,seedling
TRC,Y54,53.5,146.55,,seedling
LA,23,100.51,146.8,,seedling
LREP,126,70.4,146.96,0.45,seedling
TRC,47,45.2,147.1,,seedling
TRC,T40,90.35,147.15,,seedling
TRC,T31,60.95,147.2,,seedling
TRC,35E,35.35,147.26,,seedling
TRC,Y37,57.58,147.3,,seedling
TRC,38E,44.37,147.48,,seedling
RA,O69,150.3,147.5,0.11,seedling
LREP,25,64.1,147.59,0.45,seedling
RA,W80,32.9,148,0.5,seedling
RA,O29,174.7,148,0.06,seedling
LREP,206,62,148.1,0.1,seedling
LREP,7,83.1,148.11,3.1,sapling
RA,W83,41.3,148.2,0.3,seedling
TRC,48,43.63,148.34,,seedling
RA,OY39,97.66,148.5,,seedling
RA,O49,169,148.5,0.15,seedling
TRC,V7998,123.1,148.65,,sapling
TRC,47E,41.23,148.66,,seedling
LREP,155,92.1,148.77,3.5,sapling
RA,W82,35.2,149,0.5,seedling
TRC,T49,114.1,149,,sapling
RA,O46,170,149,0.4,seedling
LREP,50,16.05,149.1,0.35,seedling
TRC,T30,62.8,149.2,,seedling
LREP,20,54.82,149.45,4,sapling
RA,W81,34.5,149.5,0.9,seedling
TRC,37E,40.95,149.67,,seedling
TRC,T62,119.7,149.7,,seedling
TRC,T44,105.2,149.85,,seedling
LREP,255,68.78,149.98,0.16,seedling
LREP,240,27.45,150,0.15,seedling
TRC,P33,43.4,150,,seedling
LA,340,91,150,,adult
RA,O18,125.3,150,0.12,seedling
TRC,50,43.4,150.01,,seedling
RA,W20,124.7,150.1,0.14,seedling
TRC,79,164.4,150.1,,seedling
LREP,33,97.83,150.14,0.5,seedling
TRC,P86,86.7,150.3,,seedling
RA,W34,90.6,150.3,0.15,seedling
TRC,36E,41.23,150.53,,seedling
RA,OY97,129.1,150.62,,seedling
RA,O95,159,150.8,0.1,seedling
RA,O22,137,150.9,0.2,seedling
RA,W35,93.5,151,0.09,seedling
RA,W22,114.9,151,8.3,sapling
RA,W15,124.5,151,0.15,seedling
TRC,62,52.13,151.02,,seedling
RA,W36,93.9,151.6,0.25,seedling
LREP,175,10,151.7,0.14,seedling
TRC,55,36.47,151.95,,seedling
RA,W37,97.6,152,0.16,seedling
RA,O68,143,152,0.1,seedling
LREP,44,53.12,152.01,0.27,seedling
LREP,106,7.4,152.25,0.07,seedling
LREP,42,107.55,152.3,2.5,sapling
TRC,52E,175.8,152.33,,seedling
LA,127,134.01,152.34,,sapling
RA,O30,153,152.4,0.11,seedling
TRC,P27,4,152.45,,seedling
TRC,63,52.66,152.57,,seedling
LA,122,106.28,152.61,,sapling
TRC,51E,175.55,152.67,,seedling
RA,900,104.3,152.7,,adult
TRC,52,43.9,152.89,,seedling
RA,831,174.75,152.9,,adult
RA,831,174.8,152.9,,adult
LREP,169,78.3,153,5.5,sapling
LREP,282,95.5,153.45,0.18,seedling
RA,W64,69,153.5,0.9,seedling
RA,W47,55.3,153.7,0.08,seedling
RA,W25,81.5,153.7,0.58,seedling
LA,121,102.8,153.78,,sapling
RA,W48,52.3,154,0.2,seedling
RA,W69,57.3,154,0.1,seedling
RA,W63,69.5,154,0.16,seedling
RA,W19,123.7,154,0.19,seedling
LREP,47,31.8,154.1,2,sapling
LREP,288,16.89,154.2,0.09,seedling
TRC,953,172,154.3,,adult
LREP,210,24.19,154.4,0.4,seedling
RA,W38,92.9,154.4,0.45,seedling
LREP,170,15.05,154.45,0.36,seedling
RA,W46,55.1,154.6,0.08,seedling
RA,W23,114.7,154.6,0.11,seedling
LREP,134,26.8,154.78,0.09,seedling
LA,120,114.26,154.82,,sapling
TRC,51,46.77,154.88,,seedling
RA,W45,55,155,0.27,seedling
RA,W17,121.3,155,0.07,seedling
RA,W14,124,155,0.11,seedling
RA,O41,144.5,155,19.5,adult
LREP,305,43.5,155.1,0.9,seedling
LREP,308,50,155.3,1.8,sapling
RA,W16,124,155.4,0.15,seedling
TRC,49,44.8,155.6,,seedling
RA,O6,102.4,155.6,0.2,seedling
LREP,23,111.41,155.89,0.25,seedling
RA,O44,102,155.9,0.07,seedling
LA,7,112.27,155.92,,seedling
TRC,75,159.8,155.98,,seedling
RA,W18,123.5,156,0.14,seedling
TRC,78,161.35,156.14,,seedling
LREP,120,7.5,156.15,0.12,seedling
LREP,215,30,156.23,0.15,seedling
LREP,285,0,156.3,0.35,seedling
LREP,29,67.05,156.36,0.1,seedling
LA,123,96.09,156.41,,seedling
RA,O13,100.15,156.5,0.1,seedling
TRC,T50,115,156.5,,sapling
RA,O100,162,156.5,0.2,seedling
TRC,76,169.9,156.9,,sapling
TRC,54,36.92,157,,seedling
RA,O8,153,157,0.44,seedling
RA,O62,154.2,157,0.17,seedling
RA,O64,162.4,157,0.18,seedling
RA,O59,146,157.4,0.13,seedling
LA,128,154.83,157.47,,adult
TRC,55E,174.4,157.47,,seedling
LREP,32,62.05,157.65,0.45,seedling
TRC,74,159.41,157.71,,seedling
TRC,77,163.87,157.76,,seedling
RA,O34,100.9,157.8,0.39,seedling
LREP,113,44.5,157.87,0.2,seedling
RA,W1,104.1,157.9,0.09,seedling
TRC,53E,174.93,157.94,,seedling
TRC,54E,174.93,157.94,,seedling
TRC,53,41.32,158.18,,seedling
LREP,153,38.15,158.19,0.3,seedling
LREP,62,91.85,158.35,0.1,seedling
RA,W75,34,158.6,0.19,seedling
RA,833,171.9,158.6,,adult
RA,W76,34.1,158.8,0.06,seedling
LREP,263,63.45,158.82,0.16,seedling
RA,W70,68.5,159,0.13,seedling
TRC,58,52.15,159.19,,seedling
TRC,71,113.13,159.2,,seedling
LREP,19,114.2,159.24,1.5,sapling
LA,131,156,159.68,,sapling
TRC,72,105.83,159.71,,seedling
LA,112,76.32,159.8,,seedling
RA,W39,99,159.8,0.22,seedling
LA,109,56.65,159.88,,sapling
RA,W66,62,160,,sapling
RA,W65,62.5,160,0.28,seedling
LREP,135,78.5,160,3,sapling
LREP,164,84.8,160,0.6,seedling
RA,O53,165,160,0.13,seedling
LREP,227,47.94,160.23,0.12,seedling
RA,W33,87,160.3,0.15,seedling
LREP,1,44.98,160.31,1,sapling
LA,43R,30.82,160.32,,seedling
RA,W59,64.4,160.4,0.11,seedling
RA,W32,87,160.4,0.29,seedling
RA,W13,122.8,160.4,0.2,seedling
LA,130,157.62,160.45,,sapling
LREP,71,63.9,160.5,0.11,seedling
LREP,235,92.35,160.75,0.18,seedling
TRC,46E,63.45,160.91,,seedling
LREP,214,43.45,161.05,0.25,seedling
LA,124,102.42,161.11,,sapling
LREP,225,30.85,161.2,0.2,seedling
LREP,86,46.92,161.2,0.2,seedling
LA,108,34.83,161.26,,seedling
LREP,266,64.7,161.3,0.6,seedling
RA,W2,105,161.4,0.52,seedling
LREP,103,18.35,161.5,0.14,seedling
LREP,224,101.12,161.52,0.18,seedling
LA,129,153.73,161.63,,sapling
RA,O35,125.6,161.7,0.14,seedling
TRC,42E,33.22,161.84,,seedling
LREP,107,43.2,161.94,0.18,seedling
RA,W77,40,162,0.19,seedling
LREP,67,83.6,162.1,0.11,seedling
LREP,18,41.45,162.2,2.2,sapling
RA,861,148.8,162.2,,adult
RA,W74,33,162.3,0.2,seedling
RA,W40,97,162.3,0.25,seedling
RA,W3,104.6,162.3,0.29,seedling
RA,W12,112,162.3,0.1,seedling
RA,O99,136,162.3,12.6,adult
LREP,165,45,162.34,1.6,sapling
RA,W78,40.1,162.4,7,sapling
LREP,124,41.8,162.4,1,sapling
LREP,131,22.66,162.43,0.09,seedling
LREP,230,117.6,162.45,13,adult
LA,118,90.3,162.5,,seedling
RA,W41,98,162.5,0.25,seedling
LA,114,83.57,162.56,,sapling
RA,W67,32.8,162.6,0.16,seedling
LREP,43,40.55,162.6,1,sapling
RA,W60,62,162.6,0.22,seedling
LREP,72,43,162.65,0.25,seedling
RA,O90,144,162.8,0.15,seedling
RA,T2,177.6,162.92,,adult
RA,T1,177.6,162.92,,sapling
LREP,55,62.2,162.95,0.18,seedling
LREP,52,51,163.05,1.7,sapling
TRC,56,46.55,163.08,,seedling
LA,111,72.08,163.16,,seedling
LREP,21,113.9,163.35,0.25,seedling
TRC,P19,190.6,163.6,,seedling
LREP,168,40.35,163.68,0.3,seedling
TRC,T18,175.4,163.7,,sapling
LREP,203,45.95,164,0.9,seedling
LA,241,75,164,,adult
RA,O48,136.7,164,0.08,seedling
TRC,43E,35.99,164.1,,seedling
TRC,57,52.48,164.19,,seedling
RA,O91,145,164.3,0.14,seedling
LREP,199,46.15,164.4,0.25,seedling
RA,W58,60,164.4,0.4,seedling
TRC,70,106.57,164.45,,seedling
RA,W4,103.7,164.5,0.07,seedling
TRC,73,132.34,164.5,,seedling
LREP,54,115.4,164.65,1.5,sapling
RA,W5,103.9,164.7,0.42,seedling
LREP,222,1.35,164.8,0.35,seedling
RA,W57,62.1,164.8,0.2,seedling
LREP,186,28.15,165,0.4,seedling
RA,W55,62.4,165,0.26,seedling
LA,240,76.5,165,,adult
RA,O77,166,165,0.13,seedling
RA,W56,62.5,165.1,0.23,seedling
LREP,51,72.35,165.2,4,sapling
LREP,83,15.16,165.3,0.36,seedling
LREP,237,110,165.3,10,adult
LREP,217,44.75,165.38,0.27,seedling
LREP,244,48.75,165.4,0.19,seedling
RA,W79,44.3,165.5,0.22,seedling
LREP,284,85.45,165.6,0.19,seedling
RA,W42,98,165.6,0.22,seedling
TRC,64,74.12,165.62,,sapling
LREP,253,90.5,165.63,0.11,seedling
RA,W61,67.6,165.8,0.17,seedling
TRC,45E,44.47,165.81,,seedling
LREP,80,48.6,165.83,0.59,seedling
LA,44R,74.77,165.87,,seedling
LREP,220,44.15,165.95,0.25,seedling
LREP,77,65.64,165.95,0.11,seedling
TRC,67,103.78,165.96,,seedling
LREP,297,66,166,0.6,seedling
RA,W62,74,166,,sapling
LA,42R,34.23,166.1,,seedling
LREP,173,30.7,166.2,0.7,seedling
LA,48R,94.51,166.29,,seedling
TRC,48E,115.38,166.53,,seedling
LREP,204,32.3,166.55,4.5,sapling
LA,50R,86.52,166.56,,seedling
LA,125,108.25,166.62,,seedling
LA,60R,154.95,166.67,,seedling
LREP,163,59,166.88,3,sapling
TRC,41E,23.69,166.98,,seedling
RA,W6,103.3,167,1.29,sapling
RA,O21,155,167,0.13,seedling
LA,54R,106.66,167.07,,seedling
RA,O45,148.5,167.1,0.1,seedling
LREP,39,82.5,167.15,3,sapling
RA,W7,104.5,167.2,0.9,seedling
LREP,281,14.7,167.3,0.09,seedling
LREP,119,3.06,167.36,0.12,seedling
LA,55R,112.28,167.47,,seedling
RA,848,159.5,167.5,,adult
LREP,63,41.05,167.55,0.2,seedling
TRC,P41,199.5,167.55,,seedling
LA,47R,94.09,167.56,,seedling
LREP,202,21.7,167.6,0.15,seedling
RA,W73,36,167.6,0.1,seedling
RA,W49,60.3,167.6,0.24,seedling
TRC,61,58.88,167.61,,seedling
LREP,109,94.55,167.62,0.5,seedling
LREP,294,56.95,167.65,0.8,seedling
RA,O12,134.2,167.7,0.1,seedling
RA,W72,35.6,168,0.2,seedling
RA,W50,63.6,168,0.22,seedling
RA,W43,94.3,168,0.16,seedling
RA,O33,147,168,0.15,seedling
LREP,154,104.65,168.02,0.11,seedling
LREP,45,100.7,168.1,0.51,seedling
LREP,239,84.85,168.16,4.2,sapling
LA,59R,141.04,168.19,,seedling
RA,W27,83,168.2,0.2,seedling
LA,61R,179.21,168.2,,sapling
LREP,188,50.85,168.3,0.2,seedling
RA,W44,93.3,168.3,0.8,seedling
RA,W26,83.8,168.4,0.5,seedling
LREP,268,38.6,168.45,4.4,sapling
RA,W53,68,168.5,0.17,seedling
LA,119,89.41,168.68,,seedling
LA,110,54.92,168.7,,seedling
LREP,207,4.2,168.8,0.08,seedling
RA,W54,68.1,168.8,0.4,seedling
LA,105,49.21,168.86,,seedling
LA,49R,92.82,168.9,,seedling
RA,W68,30.1,169,0.1,seedling
RA,W8,105,169,0.16,seedling
LREP,128,44.3,169.33,0.6,seedling
LREP,114,41.45,169.45,0.11,seedling
LREP,85,67.93,169.6,0.18,seedling
RA,O63,157,169.7,0.1,seedling
LREP,178,49.95,169.78,2,sapling
LREP,296,42.55,169.97,2.4,sapling
LREP,177,49.75,169.98,1,sapling
RA,W51,67,170,0.6,seedling
RA,O4,133.2,170,0.1,seedling
RA,O19,147.7,170,0.12,seedling
RA,O51,157,170,0.12,seedling
RA,W52,69.4,170.1,0.4,seedling
LREP,271,78,170.2,0.28,seedling
LREP,31,65.8,170.29,0.45,seedling
LREP,304,11.4,170.4,0.15,seedling
LREP,147,2.84,170.54,0.08,seedling
TRC,66,94.36,170.56,,seedling
LA,57R,139.6,170.7,,seedling
LA,58R,139.64,170.73,,seedling
LREP,187,10,170.75,0.09,seedling
LA,51R,93.78,170.77,,seedling
TRC,T19,172.8,170.8,,sapling
LA,106,38.18,170.85,,seedling
LREP,10,34.44,170.9,0.15,seedling
TRC,44E,36.07,170.96,,seedling
LREP,184,99.75,171,0.11,seedling
RA,W9,105,171,0.06,seedling
TRC,3140,185.2,171,,adult
LREP,229,64.5,171.12,0.16,seedling
RA,945,70.5,171.2,,adult
TRC,50E,115.13,171.46,,seedling
LA,115,87.85,171.47,,seedling
TRC,971,163.7,171.5,,adult
LREP,182,34.1,171.75,0.4,seedling
LREP,152,115.44,171.87,0.11,seedling
LA,56R,139.24,172.29,,seedling
LA,53R,106.87,172.34,,seedling
LREP,88,25.2,172.35,10,adult
LA,116,86.85,172.37,,sapling
LA,45R,97.01,172.38,,sapling
RA,W11,115.6,172.4,0.18,seedling
LA,117,87.34,172.49,,seedling
LA,46R,95.89,172.5,,seedling
LA,03R,80.16,172.73,,seedling
TRC,59,55.87,172.9,,seedling
RA,W71,30,173,0.08,seedling
RA,W99,37.6,173,0.2,seedling
RA,O28,154.6,173,0.15,seedling
LREP,158,45.9,173.18,0.15,seedling
LREP,248,71.66,173.39,1.8,sapling
LA,646,134,173.5,,adult
LA,3214,176.4,173.5,,adult
LREP,287,86.9,173.65,0.5,seedling
LA,107,37.73,173.7,,sapling
LA,52R,102.75,173.8,,seedling
RA,O10,133,173.8,0.13,seedling
LREP,192,17.6,173.9,0.37,seedling
LREP,100,90.9,174,0.5,seedling
RA,W10,110.3,174,0.29,seedling
LA,520,111.1,174,,adult
LREP,108,50.7,174.24,0.15,seedling
LREP,183,9.1,174.5,0.35,seedling
RA,W31,80.7,174.6,0.2,seedling
LREP,143,108.23,174.68,0.29,seedling
RA,W29,76.5,174.7,0.2,seedling
RA,W28,76.2,174.8,0.46,seedling
RA,W30,80.8,174.9,0.13,seedling
LREP,127,49.3,174.97,0.4,seedling
LREP,74,54.4,175.1,0.4,seedling
TRC,68,103.12,175.46,,seedling
LREP,260,105.4,175.48,2,sapling
